Confirmed,Deaths,States,Recovered,Date,Id
2350,81,District of Columbia,552,16-Apr,11
23343,668,Florida,,16-Apr,12
15669,587,Georgia,,16-Apr,13
135,5,Guam,86,16-Apr,66
530,9,Hawaii,359,16-Apr,15
1587,41,Idaho,,16-Apr,16
25734,1072,Illinois,,16-Apr,17
9542,477,Indiana,,16-Apr,18
2141,60,Iowa,987,16-Apr,19
1615,80,Kansas,,16-Apr,20
2435,129,Kentucky,862,16-Apr,21
22532,1156,Louisiana,,16-Apr,22
796,27,Maine,333,16-Apr,23
10784,319,Maryland,736,16-Apr,24
32181,1108,Massachusetts,,16-Apr,25
28809,1996,Michigan,617,16-Apr,26
1809,87,Minnesota,1020,16-Apr,27
3624,129,Mississippi,,16-Apr,28
5174,169,Missouri,,16-Apr,29
415,7,Montana,218,16-Apr,30
952,21,Nebraska,,16-Apr,31
3214,137,Nevada,,16-Apr,32
1139,32,New Hampshire,365,16-Apr,33
75317,3518,New Jersey,,16-Apr,34
1484,36,New Mexico,353,16-Apr,35
223691,14832,New York,23887,16-Apr,36
5639,150,North Carolina,,16-Apr,37
393,9,North Dakota,163,16-Apr,38
13,2,Northern Mariana Islands,,16-Apr,69
8414,407,Ohio,,16-Apr,39
2357,131,Oklahoma,1240,16-Apr,40
1736,64,Oregon,,16-Apr,41
28258,841,Pennsylvania,,16-Apr,42
1043,56,Puerto Rico,,16-Apr,72
3529,87,Rhode Island,182,16-Apr,44
3931,111,South Carolina,,16-Apr,45
1311,7,South Dakota,373,16-Apr,46
6375,136,Tennessee,2786,16-Apr,47
16876,414,Texas,3677,16-Apr,48
2683,20,Utah,357,16-Apr,49
774,33,Vermont,15,16-Apr,50
51,1,Virgin Islands,46,16-Apr,78
6889,208,Virginia,951,16-Apr,51
11057,579,Washington,,16-Apr,53
728,12,West Virginia,223,16-Apr,54
3875,197,Wisconsin,,16-Apr,55
296,2,Wyoming,148,16-Apr,56
4571,148,Alabama,,17-Apr,1
309,9,Alaska,128,17-Apr,2
0,0,American Samoa,,17-Apr,60
4511,169,Arizona,539,17-Apr,4
1695,37,Arkansas,593,17-Apr,5
29157,1037,California,,17-Apr,6
8691,372,Colorado,,17-Apr,8
16809,1036,Connecticut,,17-Apr,9
2317,61,Delaware,378,17-Apr,10
2476,86,District of Columbia,573,17-Apr,11
24759,725,Florida,,17-Apr,12
17194,650,Georgia,,17-Apr,13
136,5,Guam,97,17-Apr,66
541,9,Hawaii,374,17-Apr,15
1609,41,Idaho,390,17-Apr,16
27578,1132,Illinois,,17-Apr,17
10154,522,Indiana,,17-Apr,18
2332,64,Iowa,1007,17-Apr,19
1730,82,Kansas,,17-Apr,20
2522,137,Kentucky,956,17-Apr,21
23118,1213,Louisiana,,17-Apr,22
827,29,Maine,352,17-Apr,23
11572,334,Maryland,736,17-Apr,24
34402,1245,Massachusetts,,17-Apr,25
30023,2227,Michigan,629,17-Apr,26
2070,111,Minnesota,1066,17-Apr,27
3793,140,Mississippi,,17-Apr,28
5371,184,Missouri,,17-Apr,29
422,8,Montana,233,17-Apr,30
1066,24,Nebraska,,17-Apr,31
3524,142,Nevada,,17-Apr,32
1287,37,New Hampshire,455,17-Apr,33
78467,3840,New Jersey,,17-Apr,34
1597,44,New Mexico,353,17-Apr,35
230597,17131,New York,23887,17-Apr,36
6045,177,North Carolina,,17-Apr,37
393,9,North Dakota,172,17-Apr,38
13,2,Northern Mariana Islands,,17-Apr,69
9107,418,Ohio,,17-Apr,39
2465,136,Oklahoma,1331,17-Apr,40
1785,70,Oregon,,17-Apr,41
29888,921,Pennsylvania,,17-Apr,42
1068,58,Puerto Rico,,17-Apr,72
4177,118,Rhode Island,196,17-Apr,44
4099,116,South Carolina,,17-Apr,45
1411,7,South Dakota,457,17-Apr,46
6263,141,Tennessee,3017,17-Apr,47
17849,451,Texas,4190,17-Apr,48
2793,23,Utah,443,17-Apr,49
779,35,Vermont,15,17-Apr,50
51,2,Virgin Islands,46,17-Apr,78
7491,231,Virginia,1110,17-Apr,51
11517,603,Washington,,17-Apr,53
775,16,West Virginia,223,17-Apr,54
4053,206,Wisconsin,,17-Apr,55
305,2,Wyoming,148,17-Apr,56
4712,153,Alabama,,18-Apr,1
314,9,Alaska,147,18-Apr,2
0,0,American Samoa,,18-Apr,60
4724,180,Arizona,539,18-Apr,4
1744,38,Arkansas,703,18-Apr,5
30491,1140,California,,18-Apr,6
9047,389,Colorado,,18-Apr,8
17550,1086,Connecticut,,18-Apr,9
2538,67,Delaware,423,18-Apr,10
2666,91,District of Columbia,608,18-Apr,11
25492,748,Florida,,18-Apr,12
17669,673,Georgia,,18-Apr,13
136,5,Guam,110,18-Apr,66
574,9,Hawaii,390,18-Apr,15
1655,43,Idaho,453,18-Apr,16
29160,1259,Illinois,,18-Apr,17
10641,545,Indiana,,18-Apr,18
2513,74,Iowa,1095,18-Apr,19
1821,85,Kansas,,18-Apr,20
2707,144,Kentucky,979,18-Apr,21
23580,1267,Louisiana,,18-Apr,22
847,32,Maine,382,18-Apr,23
12326,421,Maryland,771,18-Apr,24
36372,1404,Massachusetts,,18-Apr,25
30791,2308,Michigan,3237,18-Apr,26
2209,121,Minnesota,1118,18-Apr,27
3974,152,Mississippi,,18-Apr,28
5579,197,Missouri,,18-Apr,29
426,10,Montana,234,18-Apr,30
1249,24,Nebraska,,18-Apr,31
3626,151,Nevada,,18-Apr,32
1342,38,New Hampshire,468,18-Apr,33
81420,4070,New Jersey,,18-Apr,34
1798,53,New Mexico,382,18-Apr,35
241712,17671,New York,23887,18-Apr,36
6328,187,North Carolina,,18-Apr,37
528,9,North Dakota,183,18-Apr,38
14,2,Northern Mariana Islands,9,18-Apr,69
10222,451,Ohio,,18-Apr,39
2465,136,Oklahoma,1515,18-Apr,40
1844,72,Oregon,,18-Apr,41
31652,1042,Pennsylvania,,18-Apr,42
1118,60,Puerto Rico,,18-Apr,72
